group_id,report_id,split,quality_tier,dimension,status,score,error_codes,source
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,clarity_actionability,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,content_completeness,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,evidence_traceability,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,factual_accuracy,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,numerical_consistency,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,reasoning_consistency,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,uncertainty_handling,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,clarity_actionability,assessed,1,actionability_gap,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,content_completeness,assessed,2,setting_omission,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,evidence_traceability,assessed,0.5,fabricated_citation,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,factual_accuracy,assessed,1,unsupported_claim,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,numerical_consistency,assessed,0,numeric_error,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,reasoning_consistency,assessed,1,reasoning_gap,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,uncertainty_handling,assessed,1,overconfidence,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,clarity_actionability,assessed,2,actionability_gap,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,content_completeness,assessed,3,setting_omission,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,evidence_traceability,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,factual_accuracy,assessed,3,unsupported_claim,adjudication
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,numerical_consistency,assessed,4,,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,reasoning_consistency,assessed,2.5,reasoning_gap,independent_aggregate
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,uncertainty_handling,assessed,2,overconfidence,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,clarity_actionability,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,content_completeness,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,evidence_traceability,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,factual_accuracy,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,numerical_consistency,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,reasoning_consistency,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,uncertainty_handling,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,clarity_actionability,assessed,1,actionability_gap,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,content_completeness,assessed,2,setting_omission,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,evidence_traceability,assessed,0.5,fabricated_citation,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,factual_accuracy,assessed,1,unsupported_claim,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,numerical_consistency,assessed,0,numeric_error,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,reasoning_consistency,assessed,1,reasoning_gap,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,uncertainty_handling,assessed,1,overconfidence,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,clarity_actionability,assessed,2,actionability_gap,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,content_completeness,assessed,3,setting_omission,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,evidence_traceability,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,factual_accuracy,assessed,3,unsupported_claim,adjudication
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,numerical_consistency,assessed,4,,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,reasoning_consistency,assessed,2.5,reasoning_gap,independent_aggregate
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,uncertainty_handling,assessed,2,overconfidence,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,clarity_actionability,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,content_completeness,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,evidence_traceability,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,factual_accuracy,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,numerical_consistency,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,reasoning_consistency,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,uncertainty_handling,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,clarity_actionability,assessed,1,actionability_gap,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,content_completeness,assessed,2,setting_omission,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,evidence_traceability,assessed,0.5,fabricated_citation,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,factual_accuracy,assessed,1,unsupported_claim,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,numerical_consistency,assessed,0,numeric_error,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,reasoning_consistency,assessed,1,reasoning_gap,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,uncertainty_handling,assessed,1,overconfidence,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,clarity_actionability,assessed,2,actionability_gap,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,content_completeness,assessed,3,setting_omission,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,evidence_traceability,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,factual_accuracy,assessed,3,unsupported_claim,adjudication
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,numerical_consistency,assessed,4,,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,reasoning_consistency,assessed,2.5,reasoning_gap,independent_aggregate
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,uncertainty_handling,assessed,2,overconfidence,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,clarity_actionability,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,content_completeness,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,evidence_traceability,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,factual_accuracy,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,numerical_consistency,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,reasoning_consistency,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,uncertainty_handling,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,clarity_actionability,assessed,1,actionability_gap,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,content_completeness,assessed,2,setting_omission,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,evidence_traceability,assessed,0.5,fabricated_citation,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,factual_accuracy,assessed,1,unsupported_claim,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,numerical_consistency,assessed,0,numeric_error,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,reasoning_consistency,assessed,1,reasoning_gap,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,uncertainty_handling,assessed,1,overconfidence,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,clarity_actionability,assessed,2,actionability_gap,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,content_completeness,assessed,3,setting_omission,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,evidence_traceability,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,factual_accuracy,assessed,3,unsupported_claim,adjudication
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,numerical_consistency,assessed,4,,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,reasoning_consistency,assessed,2.5,reasoning_gap,independent_aggregate
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,uncertainty_handling,assessed,2,overconfidence,independent_aggregate
