report_id,group_id,split,quality_tier,mean_score,score_stddev,score_range,score_coverage,quality_band_flip,ranking_eligibility_flip,evaluation_status_flip
real-paper-01-opticommpy-high,real-paper-01-opticommpy,development,high,100.0,0.0,0.0,1.0,False,False,False
real-paper-01-opticommpy-low,real-paper-01-opticommpy,development,low,34.5,0.0,0.0,1.0,False,False,False
real-paper-01-opticommpy-medium,real-paper-01-opticommpy,development,medium,87.5,0.0,0.0,1.0,False,False,False
real-paper-02-pyngham-high,real-paper-02-pyngham,development,high,100.0,0.0,0.0,1.0,False,False,False
real-paper-02-pyngham-low,real-paper-02-pyngham,development,low,34.5,0.0,0.0,1.0,False,False,False
real-paper-02-pyngham-medium,real-paper-02-pyngham,development,medium,87.5,0.0,0.0,1.0,False,False,False
real-paper-03-differt2d-high,real-paper-03-differt2d,validation,high,100.0,0.0,0.0,1.0,False,False,False
real-paper-03-differt2d-low,real-paper-03-differt2d,validation,low,34.5,0.0,0.0,1.0,False,False,False
real-paper-03-differt2d-medium,real-paper-03-differt2d,validation,medium,87.5,0.0,0.0,1.0,False,False,False
real-paper-04-lyceanem-high,real-paper-04-lyceanem,validation,high,100.0,0.0,0.0,1.0,False,False,False
real-paper-04-lyceanem-low,real-paper-04-lyceanem,validation,low,32.0,3.535534,7.5,1.0,False,False,False
real-paper-04-lyceanem-medium,real-paper-04-lyceanem,validation,medium,87.5,0.0,0.0,1.0,False,False,False
real-paper-05-itmlogic-high,real-paper-05-itmlogic,test,high,100.0,0.0,0.0,1.0,False,False,False
real-paper-05-itmlogic-low,real-paper-05-itmlogic,test,low,34.5,0.0,0.0,1.0,False,False,False
real-paper-05-itmlogic-medium,real-paper-05-itmlogic,test,medium,87.5,0.0,0.0,1.0,False,False,False
real-paper-06-cdcam-high,real-paper-06-cdcam,test,high,97.5,3.535534,7.5,1.0,False,False,False
real-paper-06-cdcam-low,real-paper-06-cdcam,test,low,34.5,0.0,0.0,1.0,False,False,False
real-paper-06-cdcam-medium,real-paper-06-cdcam,test,medium,87.5,0.0,0.0,1.0,False,False,False
